means	sds	medians	mins	maxs	lower95	upper95
S_linnarssoni	3.35010145614273	0.00340042115349745	3.35016031922775	3.34005769190246	3.36016919219866	3.34331665255236	3.35669316109879
B_porrectus	8.94525114261238	0.00881050047305844	8.94531460568131	8.92070102215565	8.97644791326068	8.92718799982597	8.96199421683795
B_holei	9.16984649802848	0.00931387017082896	9.16973165138092	9.13550831715631	9.20365278038088	9.15179112555767	9.18745573868356
B_milleri	5.8299511455899	0.00560089941396664	5.82992196774477	5.81142504697361	5.84552493037205	5.81851770888628	5.84101628435235
B_tenuirugosus	6.76485226753314	0.00668296433025822	6.7648693638301	6.73903773901041	6.78626497467362	6.75135423130542	6.77770250173707
B_solangeae	8.44966109343716	0.00864545505870815	8.44967997494817	8.42353837567678	8.47688220276459	8.43361565937848	8.46655942923379
B_lenzi	12.7999741284703	0.0131611739597974	12.7998289229973	12.7502825316832	12.842179817377	12.7735650142129	12.8249810262486
B_bellevillensis	8.94017515176543	0.00918346520884571	8.94050752980566	8.91456889674383	8.96823242718069	8.92234004581871	8.95741286934608
B_billingsi	10.039484745755	0.00997326138781863	10.0393945517267	10.0003470857298	10.0720842235201	10.0201825196481	10.0585789116621
B_graffhami	10.6100447445183	0.0101503579173914	10.6101511650916	10.5764054668689	10.6405017130058	10.5895481781639	10.6288988224807
B_moundensis	13.5498825678475	0.0132255488946301	13.550168831513	13.5042757694463	13.5948247830131	13.5240449808461	13.5761836497194
B_kimmswickensis	9.20011379187005	0.00920342587272382	9.20000099768811	9.17489911860341	9.23031087892493	9.18169744418243	9.21760104536686
