means	sds	medians	mins	maxs	lower95	upper95
Actinopeltis_globosa	28.4518454963442	0.506140515582251	28.409233889103	27.6600501331116	29.4269420331069	27.6887069925103	29.37006155344
Actinopeltis_carolialexandri	21.468464666615	0.437642032764315	21.538556032771	20.56226713428	22.10919449714	20.6026629548096	22.079451361913
D_barrandei	5.93227935258291	1.58403716535845	6.0364420932231	2.508271825199	8.69874015934481	2.86582565920007	8.48401255808793
D_globifrons	6.5582100365933	1.1409283961321	6.53447082480833	4.60145447924243	8.69874390605823	4.68763079174433	8.54414539488753
D_ellipticum	6.89266019707819	1.75963132702367	7.17926109365096	3.20152521243747	9.3988095772473	3.54713889654231	9.30683005029923
D_bainsi	15.7329609033498	2.67292801478259	15.2578085057426	11.6117833804702	23.9734762970362	11.8586837420806	21.6385525847488
D_grovesi	16.2036468573555	3.128356635601	15.7119957276223	11.6056119360117	24.4643734870236	11.7828062390457	22.8301679186768
D_longifrons	5.97599231829036	1.61288590177789	6.08685919722444	2.52397506940447	8.49967279842564	2.86104431016823	8.41608244397878
D_fleur	9.16096034078283	3.72789628864286	8.66067660578893	2.51121067793517	18.7998197009439	3.28135579992524	17.1218278847425
S_robustus	34.0742377410026	4.0643678443166	35.0793546963712	19.277053438114	40.2609117371861	24.2564162045597	39.6334331362081
S_kingi	30.3769258649984	1.73156753246729	30.8372434128055	22.7220869776476	32.5047010219199	25.8780818207786	32.4044123650269
S_dentata	31.6391326433648	3.74068631754135	31.1851666016919	21.5827201212236	41.5831132998091	24.6288771324479	39.5657468628637
S_longispina	30.4754162070352	1.12112619450064	30.504345315589	28.3022692510737	32.3940769913017	28.489839222944	32.2967047005062
S_cranium	39.1313506938705	0.595011911249839	39.0475981912661	38.2044681972241	40.2940735450743	38.2419014002364	40.2338403121719
S_maquoketensis	30.1192276278365	2.31967364068405	30.7712348519408	20.3088418865401	32.6991027482235	23.8930832794923	32.6332841945134
S_murphyi	31.1824679653808	0.564558771657821	31.1557697050627	30.2019507584807	32.198382277975	30.2520461314129	32.141550419851
S_gemina	29.8394967582336	0.813095910894122	29.9111600727865	28.3011100071317	31.0942194756241	28.392527166251	31.0408405257035
S_goodnovi	33.5153864680104	0.819373885991705	33.3607391214826	32.4001456607089	35.590470567073	32.4462787379453	35.3792089004672
S_exserta	28.7774769168337	1.55830884606752	28.4782674306778	26.6613896122132	33.7790010258227	26.7258577650232	32.3462204269221
H_huebneri	30.4553584989415	1.09278703473655	30.4751423241173	28.4956582290083	32.2657542367231	28.5987202453094	32.1670950245782
H_pseudohemicranium	29.4448885075278	0.526278188143727	29.4645570002973	28.4905671869123	30.3204584391151	28.5354855914862	30.2810315056903
H_elliptica	38.5419221326877	1.81859875281814	38.0183792692363	36.5519965062116	44.8542580663779	36.6111899572798	43.2292224497992
