char_is_autapomorphic	nstates_per_char	state0	state1	state2
1	0	3	15	9	4
2	0	2	12	16	0
3	0	2	12	20	0
4	0	2	11	10	0
5	0	2	11	11	0
6	0	2	17	17	0
7	0	2	17	10	0
8	0	2	12	18	0
9	0	2	15	11	0
10	0	3	2	10	15
11	0	3	10	12	9
12	0	2	14	10	0
13	0	2	10	12	0
14	0	2	12	12	0
15	0	2	13	9	0
16	0	2	12	12	0
17	0	2	9	9	0
18	0	3	10	10	8
19	0	2	16	10	0
20	0	2	15	11	0
21	0	2	19	9	0
22	0	2	11	16	0
23	0	2	15	12	0
24	0	2	10	13	0
25	0	2	14	11	0
26	0	2	13	11	0
27	0	2	12	12	0
28	0	2	16	8	0
29	0	2	14	10	0
30	0	2	14	10	0
31	0	2	13	13	0
32	0	2	13	12	0
33	0	2	13	13	0
34	0	2	12	16	0
