OTU	nPar	nQ	nQ_woInvar	numchars	completePercent	numchars2	completePercent2
1	H_australis	3	0	0	31	91.18	31	91.18
2	H_biconvexa	0	1	1	33	97.06	33	97.06
3	G_alta	1	5	5	28	82.35	28	82.35
4	G_assimilis	3	0	0	31	91.18	31	91.18
5	G_bellarugosa	7	0	0	27	79.41	27	79.41
6	G_bellatula	1	2	2	31	91.18	31	91.18
7	G_concinnula	0	8	8	26	76.47	26	76.47
8	G_costellata	2	0	0	32	94.12	32	94.12
9	G_crenulata	3	0	0	31	91.18	31	91.18
10	G_daytonensis	1	3	3	30	88.24	30	88.24
11	G_equiconvexa	2	0	0	32	94.12	32	94.12
12	G_fausta	3	5	5	26	76.47	26	76.47
13	G_glaseri	1	5	5	28	82.35	28	82.35
14	G_glypta	1	1	1	32	94.12	32	94.12
15	G_insculpta	9	0	0	25	73.53	25	73.53
16	G_irregularis	2	2	2	30	88.24	30	88.24
17	G_maquoketensis	1	0	0	33	97.06	33	97.06
18	G_multicostellata	2	3	3	29	85.29	29	85.29
19	G_obesa	0	6	6	28	82.35	28	82.35
20	G_pulchra	4	0	0	30	88.24	30	88.24
21	G_senecta	7	3	3	24	70.59	24	70.59
22	G_subcircularis	5	0	0	29	85.29	29	85.29
23	G_sulcata	5	10	10	19	55.88	19	55.88
24	G_uncinata	4	2	2	28	82.35	28	82.35
25	G_uniformis	14	0	0	20	58.82	20	58.82
