means	sds	medians	mins	maxs	lower95	upper95
Neseuretus	39.5987664337439	1.05984743729742	39.7526768574855	37.470858895691	41.2474595027757	37.602318665814	41.1781363763529
P_dyaulax	29.9526183809212	3.84114381070917	30.8663602049809	2.50431264665166	33.1126574025937	17.378898648769	32.8256078948083
P_exul	32.8851169918261	1.98344663199651	32.7279551849392	29.6496448102737	37.4059507634837	29.8294259502087	36.8105395822248
P_dentata	28.9460265232237	0.114581019959427	28.9424501904628	28.7504529202009	29.1398733021319	28.7623485691007	29.1286872529736
P_christyi	27.2807205599322	1.85991579674115	27.8678970432474	18.3740560151349	29.1383762152921	21.8827525227758	29.0988212810432
P_vulcani	31.5958952777774	0.618370322802501	31.4593781963	30.7713250578259	33.112226275598	30.8005930453056	32.9632039624614
B_bisulcata	26.9918089515142	2.64656115342818	26.302848173169	23.5122529202394	33.0559469967877	23.6345852265554	32.3986969963289
B_trentonensis	27.4187448812689	2.7026631458445	26.836763860205	23.199832294243	33.0816164614754	23.497040352673	32.6962484872886
C_arago	33.5157510923622	1.49315910535003	33.5707649720841	30.7833022874064	36.2478036715507	30.9555373429362	36.0799876009679
P_vacuvertis	32.4408104965727	1.80808918459171	32.2345828060194	29.5735862253228	37.4304218894215	29.7588942750237	36.298850061959
P_oehlerti	32.7132578535867	1.85035715957351	32.4830612030624	29.652990766273	37.4350503283553	29.8324060398189	36.6382244272735
C_rouaulti	33.3113485554031	1.56898823466268	33.3669336149479	30.2186634474162	36.239046875989	30.4442935976352	35.9525933664902
C_boisselli	24.0005057190545	1.25609656076053	24.283091743582	19.5488900874073	25.6163929143429	20.7634388778017	25.5700488563615
C_alcantarae	25.0476695492418	0.316923213992609	25.0310358430104	24.5105250116203	25.6175625943987	24.5417283164612	25.5922839707779
E_sdzuyi	28.1821882791707	0.299895272147997	28.1644925293327	27.662312105019	28.7061491031571	27.7008114517684	28.6825389254103
