means	sds	medians	mins	maxs	lower95	upper95
D_meedsi_arctica	12.0180544056296	0.433368875659712	12.0827128512746	11.0853072282553	12.6497307729868	11.162032649683	12.6248731346679
D_sweeneyi	13.2704548946375	0.537931164097116	13.1149202227401	12.650568720105	14.9394681337027	12.6677060004036	14.6786200013429
D_venusta	12.3921095831266	1.03070425694567	12.4139970225152	10.0125000864148	15.0508519609428	10.4263531500373	14.545838270647
P_belilamellosus	3.07706520477637	1.18272877360484	2.93641381024832	1.20139981887559	5.53202023410931	1.30645811704915	5.37053842998275
P_bellistriatus	3.15856501997946	1.22820217923889	2.97487488056525	1.20737191948506	5.54861204622867	1.29690896685063	5.43120466361258
P_carltona	3.69579548427015	1.72381432925285	3.34011671002292	1.3016882583511	7.59989798379857	1.4043881687961	7.18279949739186
P_cutterensis	3.17954486919243	1.23875183337748	3.06457852228647	1.20417012546199	5.60718273150672	1.28771868000228	5.46861116271152
P_idahoensis	3.2991805810781	1.20418764353911	3.21037763667549	1.20036082950564	5.60697917320349	1.32286339987718	5.4800935202828
P_occidentalis	2.99905622459054	1.1507466124549	2.89866920705944	1.10024669467371	5.20750162264476	1.19909122822947	5.01719132979143
P_proavitus	3.10836657588334	1.08604993369148	3.04010863443817	1.3018412640545	5.2087322800812	1.42448612143685	5.04465012822788
P_subcircularis	3.27802962508406	1.20673793036186	3.24648913268346	1.10039404424125	5.54947015697124	1.23409833979967	5.39968373676244
P_subquadratus	3.60902244798345	1.70394777338408	3.29463302529334	1.10458482640432	7.56721525039258	1.224822959542	7.18614979660847
