OTU	nPar	nQ	nQ_woInvar	numchars	completePercent	numchars2	completePercent2
1	D_meedsi_arctica	2	2	2	17	80.95	17	80.95
2	D_sweeneyi	1	0	0	20	95.24	20	95.24
3	D_venusta	2	1	1	18	85.71	18	85.71
4	P_anticostiensis	8	1	1	12	57.14	12	57.14
5	P_belilamellosus	0	0	0	21	100	21	100
6	P_bellistriatus	0	0	0	21	100	21	100
7	P_carltona	2	0	0	19	90.48	19	90.48
8	P_cutterensis	1	1	1	19	90.48	19	90.48
9	P_idahoensis	6	0	0	15	71.43	15	71.43
10	P_occidentalis	3	1	1	17	80.95	17	80.95
11	P_proavitus	6	0	0	15	71.43	15	71.43
12	P_subcircularis	3	1	1	17	80.95	17	80.95
13	P_subquadratus	9	0	0	12	57.14	12	57.14
