OTU	nPar	nQ	nQ_woInvar	numchars	completePercent	numchars2	completePercent2
1	Raymondapsis	0	0	1	20	100	19	95
2	T_lacertus	0	3	4	17	85	16	80
3	T_viator	0	1	2	19	95	18	90
4	T_utahensis	0	1	2	19	95	18	90
5	T_marginalis	0	0	1	20	100	19	95
6	T_conradi	0	0	1	20	100	19	95
7	T_angusticollis	0	1	2	19	95	18	90
8	T_depressicapitatus	0	3	4	17	85	16	80
9	T_latiaxiatus	0	3	4	17	85	16	80
10	T_fieldi	0	5	6	15	75	14	70
11	T_conifrons	0	5	6	15	75	14	70
12	T_raymondi	0	1	2	19	95	18	90
13	T_mackenziensis	0	3	4	17	85	16	80
14	T_aduncus	0	2	3	18	90	17	85
15	T_ovata	0	0	1	20	100	19	95
16	T_longispina	0	1	2	19	95	18	90
17	T_anusacermissima	0	2	3	18	90	17	85
18	T_laurentiana	0	0	1	20	100	19	95
19	T_jaanussoni	0	0	1	20	100	19	95
20	T_mobydicki	0	0	1	20	100	19	95
